Round,Date,Team 1,FT,HT,Team 2,∑FT,ET,P
Round of 16 | Leg 1,(Wed) 31 Oct 1962 (W44),IFK Norrkoping › SWE (3),1-1,1-1,SL Benfica › POR (1),2-6 (agg.),,
Round of 16 | Leg 2,(Wed) 31 Oct 1962 (W44),Dundee FC › SCO (4),4-1,2-0,Sporting CP › POR (4),4-2 (agg.),,
Round of 16 | Leg 1,(Wed) 7 Nov 1962 (W45),Galatasaray İstanbul AŞ › TUR (3),4-1,2-0,Polonia Bytom › POL (3),4-2 (agg.),,
Round of 16 | Leg 1,(Wed) 7 Nov 1962 (W45),Esbjerg fB › DEN (3),0-0,0-0,Dukla Praha › CZE (3),0-5 (agg.),,
Round of 16 | Leg 1,(Wed) 14 Nov 1962 (W46),Feyenoord Rotterdam › NED (4),1-1,1-1,Budapesti Vasas › HUN (3),4-3 (agg.),,
Round of 16 | Leg 2,(Wed) 14 Nov 1962 (W46),Dukla Praha › CZE (4),5-0,1-0,Esbjerg fB › DEN (4),5-0 (agg.),,
Round of 16 | Leg 2,(Wed) 14 Nov 1962 (W46),RSC Anderlecht › BEL (4),2-0,1-0,CDNA Sofia › BUL (4),4-2 (agg.),,
Round of 16 | Leg 2,(Wed) 14 Nov 1962 (W46),Stade Reims › FRA (2),5-0,3-0,Austria Wien › AUT (4),7-3 (agg.),,
Round of 16 | Leg 2,(Sun) 18 Nov 1962 (W46),Polonia Bytom › POL (4),1-0,1-0,Galatasaray İstanbul AŞ › TUR (4),2-4 (agg.),,
Round of 16 | Leg 1,(Mon) 19 Nov 1962 (W47),AC Milan › ITA (3),3-0,2-0,Ipswich Town FC › ENG (3),4-2 (agg.),,
Round of 16 | Leg 2,(Thu) 22 Nov 1962 (W47),SL Benfica › POR (2),5-1,4-0,IFK Norrkoping › SWE (4),6-2 (agg.),,
Round of 16 | Leg 2,(Wed) 28 Nov 1962 (W48),Budapesti Vasas › HUN (4),2-2,1-1,Feyenoord Rotterdam › NED (5),3-4 (agg.),,
Round of 16 | Leg 2,(Wed) 28 Nov 1962 (W48),Ipswich Town FC › ENG (4),2-1,0-0,AC Milan › ITA (4),2-4 (agg.),,
Round of 16 | Replay,(Wed) 12 Dec 1962 (W50),Feyenoord Rotterdam › NED (6),1-0,0-0,Budapesti Vasas › HUN (5),4-3 (agg.),,
Quarterfinals | Leg 1,(Wed) 23 Jan 1963 (W3),Galatasaray İstanbul AŞ › TUR (5),1-3,1-2,AC Milan › ITA (5),1-8 (agg.),,
Quarterfinals | Leg 1,(Wed) 6 Feb 1963 (W5),Stade Reims › FRA (3),0-1,0-1,Feyenoord Rotterdam › NED (7),1-2 (agg.),,
Quarterfinals | Leg 1,(Wed) 6 Mar 1963 (W9),SL Benfica › POR (3),2-1,0-0,Dukla Praha › CZE (5),2-1 (agg.),,
Quarterfinals | Leg 1,(Wed) 6 Mar 1963 (W9),RSC Anderlecht › BEL (5),1-4,1-2,Dundee FC › SCO (5),2-6 (agg.),,
Quarterfinals | Leg 2,(Wed) 13 Mar 1963 (W10),AC Milan › ITA (6),5-0,2-0,Galatasaray İstanbul AŞ › TUR (6),8-1 (agg.),,
Quarterfinals | Leg 2,(Wed) 13 Mar 1963 (W10),Dukla Praha › CZE (6),0-0,0-0,SL Benfica › POR (4),1-2 (agg.),,
Quarterfinals | Leg 2,(Wed) 13 Mar 1963 (W10),Feyenoord Rotterdam › NED (8),1-1,1-0,Stade Reims › FRA (4),2-1 (agg.),,
Quarterfinals | Leg 2,(Wed) 13 Mar 1963 (W10),Dundee FC › SCO (6),2-1,0-1,RSC Anderlecht › BEL (6),6-2 (agg.),,
Semifinals | Leg 1,(Wed) 10 Apr 1963 (W14),Feyenoord Rotterdam › NED (9),0-0,0-0,SL Benfica › POR (5),1-3 (agg.),,
Semifinals | Leg 1,(Wed) 24 Apr 1963 (W16),AC Milan › ITA (7),5-1,1-1,Dundee FC › SCO (7),5-2 (agg.),,
Semifinals | Leg 2,(Wed) 1 May 1963 (W17),Dundee FC › SCO (8),1-0,0-0,AC Milan › ITA (8),2-5 (agg.),,
Semifinals | Leg 2,(Wed) 8 May 1963 (W18),SL Benfica › POR (6),3-1,2-0,Feyenoord Rotterdam › NED (10),3-1 (agg.),,
Final,(Wed) 22 May 1963 (W20),AC Milan › ITA (9),2-1,0-0,SL Benfica › POR (7),,,
