Stage,Round,Group,Date,Team 1,FT,HT,Team 2,∑FT,ET,P,Comments
Qualifying,Qual. Round 1 | Leg 1,,(Wed) 17 Jul 2002 (W28),Sheriff Tiraspol › MDA (1),2-1,0-0,Astana-64 › KAZ (1),,,,
Qualifying,Qual. Round 2 | Leg 1,,(Wed) 31 Jul 2002 (W30),MSK Zilina › SVK (1),1-1,0-0,Basel › SUI (1),,,,
Qualifying,Qual. Round 2 | Leg 1,,(Wed) 31 Jul 2002 (W30),Maccabi Haifa › ISR (1),4-0,0-0,Belshina Bobruisk › ISR (3),,,,
Qualifying,Qual. Round 2 | Leg 1,,(Wed) 31 Jul 2002 (W30),Boavista FC › POR (1),4-0,0-0,Hibernians › MLT (3),,,,
Qualifying,Qual. Round 2 | Leg 1,,(Wed) 31 Jul 2002 (W30),Brondby IF › DEN (1),1-0,0-0,Dinamo Tirana › ALB (3),,,,
Qualifying,Qual. Round 2 | Leg 1,,(Wed) 31 Jul 2002 (W30),Club Brugge › BEL (1),3-1,0-0,Dinamo Bucuresti › ROU (1),,,,
Qualifying,Qual. Round 2 | Leg 1,,(Wed) 31 Jul 2002 (W30),Dinamo Kiev › UKR (1),4-0,0-0,Pyunik › ARM (3),,,,
Qualifying,Qual. Round 2 | Leg 1,,(Wed) 31 Jul 2002 (W30),Sheriff Tiraspol › MDA (3),1-4,0-0,Grazer AK › AUT (1),,,,
Qualifying,Qual. Round 2 | Leg 1,,(Wed) 31 Jul 2002 (W30),Vardar Skopje › MKD (3),1-3,0-0,Legia Warsaw › POL (1),,,,
Qualifying,Qual. Round 2 | Leg 1,,(Wed) 31 Jul 2002 (W30),Skonto › LVA (3),0-0,0-0,Levski Sofia › BUL (1),,,,
Qualifying,Qual. Round 2 | Leg 1,,(Wed) 31 Jul 2002 (W30),Hammarby › SWE (1),1-1,0-0,Partizan Belgrade › SRB (1),,,,
Qualifying,Qual. Round 2 | Leg 1,,(Wed) 31 Jul 2002 (W30),Sparta Praha › CZE (1),3-0,0-0,Torpedo Kutaisi › GEO (3),,,,
Qualifying,Qual. Round 2 | Leg 1,,(Wed) 31 Jul 2002 (W30),Lillestrom › NOR (1),0-1,0-0,Zeljeznicar Sarajevo › BIH (3),,,,
Qualifying,Qual. Round 2 | Leg 2,,(Wed) 7 Aug 2002 (W31),NK Zagreb › CRO (2),2-1,0-0,Zalaegerszegi TE › HUN (2),2-2 (agg.),,,away goals
Qualifying,Qual. Round 2 | Leg 2,,(Wed) 7 Aug 2002 (W31),APOEL Nikosia › CYP (4),4-2,0-0,NK Maribor › SVN (2),5-4 (agg.),,,
Qualifying,Qual. Round 2 | Leg 2,,(Wed) 7 Aug 2002 (W31),Basel › SUI (2),3-0,0-0,MSK Zilina › SVK (2),4-1 (agg.),,,
Qualifying,Qual. Round 2 | Leg 2,,(Wed) 7 Aug 2002 (W31),Belshina Bobruisk › ISR (4),0-1,0-0,Maccabi Haifa › ISR (2),0-5 (agg.),,,
Qualifying,Qual. Round 2 | Leg 2,,(Wed) 7 Aug 2002 (W31),Hibernians › MLT (4),3-3,0-0,Boavista FC › POR (2),3-7 (agg.),,,
Qualifying,Qual. Round 2 | Leg 2,,(Wed) 7 Aug 2002 (W31),Dinamo Tirana › ALB (4),0-4,0-0,Brondby IF › DEN (2),0-5 (agg.),,,
Qualifying,Qual. Round 2 | Leg 2,,(Wed) 7 Aug 2002 (W31),Dinamo Bucuresti › ROU (2),0-1,0-0,Club Brugge › BEL (2),1-4 (agg.),,,
Qualifying,Qual. Round 2 | Leg 2,,(Wed) 7 Aug 2002 (W31),Pyunik › ARM (4),2-2,0-0,Dinamo Kiev › UKR (2),2-6 (agg.),,,
Qualifying,Qual. Round 2 | Leg 2,,(Wed) 7 Aug 2002 (W31),Grazer AK › AUT (2),2-0,0-0,Sheriff Tiraspol › MDA (4),6-1 (agg.),,,
Qualifying,Qual. Round 2 | Leg 2,,(Wed) 7 Aug 2002 (W31),Legia Warsaw › POL (2),1-1,0-0,Vardar Skopje › MKD (4),4-2 (agg.),,,
Qualifying,Qual. Round 2 | Leg 2,,(Wed) 7 Aug 2002 (W31),Levski Sofia › BUL (2),2-0,0-0,Skonto › LVA (4),2-0 (agg.),,,
Qualifying,Qual. Round 2 | Leg 2,,(Wed) 7 Aug 2002 (W31),Zeljeznicar Sarajevo › BIH (4),1-0,0-0,Lillestrom › NOR (2),2-0 (agg.),,,
Qualifying,Qual. Round 2 | Leg 2,,(Wed) 7 Aug 2002 (W31),Torpedo Kutaisi › GEO (4),1-2,0-0,Sparta Praha › CZE (2),1-5 (agg.),,,
Qualifying,Qual. Round 2 | Leg 2,,(Wed) 7 Aug 2002 (W31),Partizan Belgrade › SRB (2),4-0,0-0,Hammarby › SWE (2),5-1 (agg.),,,
Qualifying,Qual. Round 3 | Leg 1,,(Tue) 13 Aug 2002 (W32),Shakhtar Donetsk › UKR (1),1-1,0-0,Club Brugge › BEL (3),,,,
Qualifying,Qual. Round 3 | Leg 1,,(Tue) 13 Aug 2002 (W32),AC Milan › ITA (1),1-0,0-0,Slovan Liberec › CZE (1),,,,
Qualifying,Qual. Round 3 | Leg 1,,(Tue) 13 Aug 2002 (W32),Celtic FC › SCO (1),3-1,0-0,Basel › SUI (3),,,,
Qualifying,Qual. Round 3 | Leg 1,,(Tue) 13 Aug 2002 (W32),KRC Genk › BEL (1),2-0,0-0,Sparta Praha › CZE (3),,,,
Qualifying,Qual. Round 3 | Leg 1,,(Tue) 13 Aug 2002 (W32),APOEL Nikosia › CYP (5),2-3,0-0,AEK Athens › GRE (1),,,,
Qualifying,Qual. Round 3 | Leg 1,,(Tue) 13 Aug 2002 (W32),Boavista FC › POR (3),0-1,0-0,AJ Auxerre › FRA (1),,,,
Qualifying,Qual. Round 3 | Leg 1,,(Tue) 13 Aug 2002 (W32),FC Barcelona › ESP (1),3-0,0-0,Legia Warsaw › POL (3),,,,
Qualifying,Qual. Round 3 | Leg 1,,(Tue) 13 Aug 2002 (W32),Rosenborg BK › NOR (1),1-0,0-0,Brondby IF › DEN (3),,,,
Qualifying,Qual. Round 3 | Leg 1,,(Tue) 13 Aug 2002 (W32),Partizan Belgrade › SRB (3),0-3,0-0,Bayern München › GER (1),,,,
Qualifying,Qual. Round 3 | Leg 1,,(Tue) 13 Aug 2002 (W32),Grazer AK › AUT (3),0-2,0-0,Lokomotiv Moskva › RUS (1),,,,
Qualifying,Qual. Round 3 | Leg 1,,(Tue) 13 Aug 2002 (W32),Sporting CP › POR (1),0-0,0-0,Internazionale › ITA (1),,,,
Qualifying,Qual. Round 3 | Leg 1,,(Tue) 13 Aug 2002 (W32),Maccabi Haifa › ISR (3),2-0,0-0,SK Sturm Graz › AUT (1),,,,
Qualifying,Qual. Round 3 | Leg 1,,(Tue) 13 Aug 2002 (W32),Zalaegerszegi TE › HUN (3),1-0,0-0,Manchester United FC › ENG (1),,,,
Qualifying,Qual. Round 3 | Leg 1,,(Tue) 13 Aug 2002 (W32),Zeljeznicar Sarajevo › BIH (5),0-1,0-0,Newcastle United FC › ENG (1),,,,
Qualifying,Qual. Round 3 | Leg 1,,(Tue) 13 Aug 2002 (W32),Feyenoord Rotterdam › NED (1),1-0,0-0,Fenerbahçe İstanbul SK › TUR (1),,,,
Qualifying,Qual. Round 3 | Leg 1,,(Wed) 14 Aug 2002 (W32),Levski Sofia › BUL (3),0-1,0-0,Dinamo Kiev › UKR (3),,,,
Qualifying,Qual. Round 3 | Leg 2,,(Tue) 27 Aug 2002 (W34),Club Brugge › BEL (4),1-1 (*),0-0,Shakhtar Donetsk › UKR (2),2-2 (agg.),1-1 (a.e.t.),4-1 (pen.),
Qualifying,Qual. Round 3 | Leg 2,,(Tue) 27 Aug 2002 (W34),Slovan Liberec › CZE (2),2-1,0-0,AC Milan › ITA (2),2-2 (agg.),,,away goals
Qualifying,Qual. Round 3 | Leg 2,,(Tue) 27 Aug 2002 (W34),Basel › SUI (4),2-0,0-0,Celtic FC › SCO (2),3-3 (agg.),,,away goals
Qualifying,Qual. Round 3 | Leg 2,,(Tue) 27 Aug 2002 (W34),Sparta Praha › CZE (4),4-2,0-0,KRC Genk › BEL (2),4-4 (agg.),,,away goals
Qualifying,Qual. Round 3 | Leg 2,,(Tue) 27 Aug 2002 (W34),AEK Athens › GRE (2),1-0,0-0,APOEL Nikosia › CYP (6),4-2 (agg.),,,
Qualifying,Qual. Round 3 | Leg 2,,(Tue) 27 Aug 2002 (W34),AJ Auxerre › FRA (2),0-0,0-0,Boavista FC › POR (4),1-0 (agg.),,,
Qualifying,Qual. Round 3 | Leg 2,,(Tue) 27 Aug 2002 (W34),Legia Warsaw › POL (4),0-1,0-0,FC Barcelona › ESP (2),0-4 (agg.),,,
Qualifying,Qual. Round 3 | Leg 2,,(Tue) 27 Aug 2002 (W34),Brondby IF › DEN (4),2-3,0-0,Rosenborg BK › NOR (2),2-4 (agg.),,,
Qualifying,Qual. Round 3 | Leg 2,,(Tue) 27 Aug 2002 (W34),Dinamo Kiev › UKR (4),1-0,0-0,Levski Sofia › BUL (4),2-0 (agg.),,,
Qualifying,Qual. Round 3 | Leg 2,,(Tue) 27 Aug 2002 (W34),Fenerbahçe İstanbul SK › TUR (2),0-2,0-0,Feyenoord Rotterdam › NED (2),0-3 (agg.),,,
Qualifying,Qual. Round 3 | Leg 2,,(Tue) 27 Aug 2002 (W34),Lokomotiv Moskva › RUS (2),3-3,0-0,Grazer AK › AUT (4),5-3 (agg.),,,
Qualifying,Qual. Round 3 | Leg 2,,(Tue) 27 Aug 2002 (W34),Internazionale › ITA (2),2-0,0-0,Sporting CP › POR (2),2-0 (agg.),,,
Qualifying,Qual. Round 3 | Leg 2,,(Tue) 27 Aug 2002 (W34),SK Sturm Graz › AUT (2),3-3,0-0,Maccabi Haifa › ISR (4),3-5 (agg.),,,
Qualifying,Qual. Round 3 | Leg 2,,(Tue) 27 Aug 2002 (W34),Manchester United FC › ENG (2),5-0,0-0,Zalaegerszegi TE › HUN (4),5-1 (agg.),,,
Qualifying,Qual. Round 3 | Leg 2,,(Tue) 27 Aug 2002 (W34),Bayern München › GER (2),3-1,0-0,Partizan Belgrade › SRB (4),6-1 (agg.),,,
Qualifying,Qual. Round 3 | Leg 2,,(Tue) 27 Aug 2002 (W34),Newcastle United FC › ENG (2),4-0,0-0,Zeljeznicar Sarajevo › BIH (6),5-0 (agg.),,,
Group 1st,Matchday ?,1|A,(Tue) 17 Sep 2002 (W37),Arsenal FC › ENG (1),2-0,0-0,Borussia Dortmund › GER (1),,,,
Group 1st,Matchday ?,1|A,(Tue) 17 Sep 2002 (W37),AJ Auxerre › FRA (3),0-0,0-0,PSV Eindhoven › NED (1),,,,
Group 1st,Matchday ?,1|B,(Tue) 17 Sep 2002 (W37),Basel › SUI (5),2-0,0-0,Spartak Moskva › RUS (1),,,,
Group 1st,Matchday ?,1|B,(Tue) 17 Sep 2002 (W37),Valencia CF › ESP (1),2-0,2-0,Liverpool FC › ENG (1),,,,
Group 1st,Matchday ?,1|C,(Tue) 17 Sep 2002 (W37),AS Roma › ITA (1),0-3,0-1,Real Madrid CF › ESP (1),,,,
Group 1st,Matchday ?,1|C,(Tue) 17 Sep 2002 (W37),KRC Genk › BEL (3),0-0,0-0,AEK Athens › GRE (3),,,,
Group 1st,Matchday ?,1|D,(Tue) 17 Sep 2002 (W37),AFC Ajax › NED (1),2-1,2-0,Olympique Lyon › FRA (1),,,,
Group 1st,Matchday ?,1|D,(Tue) 17 Sep 2002 (W37),Rosenborg BK › NOR (3),2-2,0-1,Internazionale › ITA (3),,,,
Group 1st,Matchday ?,1|E,(Wed) 18 Sep 2002 (W37),Feyenoord Rotterdam › NED (3),1-1,0-1,Juventus › ITA (1),,,,
Group 1st,Matchday ?,1|E,(Wed) 18 Sep 2002 (W37),Dinamo Kiev › UKR (5),2-0,1-0,Newcastle United FC › ENG (3),,,,
Group 1st,Matchday ?,1|F,(Wed) 18 Sep 2002 (W37),Manchester United FC › ENG (3),5-2,2-1,Maccabi Haifa › ISR (5),,,,
Group 1st,Matchday ?,1|F,(Wed) 18 Sep 2002 (W37),Olympiacos › GRE (1),6-2,3-1,Bayer 04 Leverkusen › GER (1),,,,
Group 1st,Matchday ?,1|G,(Wed) 18 Sep 2002 (W37),Bayern München › GER (3),2-3,0-2,Deportivo La Coruna › ESP (1),,,,
Group 1st,Matchday ?,1|G,(Wed) 18 Sep 2002 (W37),AC Milan › ITA (3),2-1,0-0,RC Lens › FRA (1),,,,
Group 1st,Matchday ?,1|H,(Wed) 18 Sep 2002 (W37),Lokomotiv Moskva › RUS (3),0-2,0-0,Galatasaray İstanbul AŞ › TUR (1),,,,
Group 1st,Matchday ?,1|H,(Wed) 18 Sep 2002 (W37),FC Barcelona › ESP (3),3-2,3-1,Club Brugge › BEL (5),,,,
Group 1st,Matchday ?,1|E,(Tue) 24 Sep 2002 (W38),Newcastle United FC › ENG (4),0-1,0-1,Feyenoord Rotterdam › NED (4),,,,
Group 1st,Matchday ?,1|E,(Tue) 24 Sep 2002 (W38),Juventus › ITA (2),5-0,2-0,Dinamo Kiev › UKR (6),,,,
Group 1st,Matchday ?,1|F,(Tue) 24 Sep 2002 (W38),Bayer 04 Leverkusen › GER (2),1-2,0-2,Manchester United FC › ENG (4),,,,
Group 1st,Matchday ?,1|F,(Tue) 24 Sep 2002 (W38),Maccabi Haifa › ISR (6),3-0,1-0,Olympiacos › GRE (2),,,,
Group 1st,Matchday ?,1|G,(Tue) 24 Sep 2002 (W38),Deportivo La Coruna › ESP (2),0-4,0-2,AC Milan › ITA (4),,,,
Group 1st,Matchday ?,1|G,(Tue) 24 Sep 2002 (W38),RC Lens › FRA (2),1-1,0-1,Bayern München › GER (4),,,,
Group 1st,Matchday ?,1|H,(Tue) 24 Sep 2002 (W38),Club Brugge › BEL (6),0-0,0-0,Lokomotiv Moskva › RUS (4),,,,
Group 1st,Matchday ?,1|H,(Tue) 24 Sep 2002 (W38),Galatasaray İstanbul AŞ › TUR (2),0-2,0-1,FC Barcelona › ESP (4),,,,
Group 1st,Matchday ?,1|A,(Wed) 25 Sep 2002 (W38),PSV Eindhoven › NED (2),0-4,0-1,Arsenal FC › ENG (2),,,,
Group 1st,Matchday ?,1|A,(Wed) 25 Sep 2002 (W38),Borussia Dortmund › GER (2),2-1,1-0,AJ Auxerre › FRA (4),,,,
Group 1st,Matchday ?,1|B,(Wed) 25 Sep 2002 (W38),Spartak Moskva › RUS (2),0-3,0-1,Valencia CF › ESP (2),,,,
Group 1st,Matchday ?,1|B,(Wed) 25 Sep 2002 (W38),Liverpool FC › ENG (2),1-1,1-1,Basel › SUI (6),,,,
Group 1st,Matchday ?,1|C,(Wed) 25 Sep 2002 (W38),AEK Athens › GRE (4),0-0,0-0,AS Roma › ITA (2),,,,
Group 1st,Matchday ?,1|C,(Wed) 25 Sep 2002 (W38),Real Madrid CF › ESP (2),6-0,2-0,KRC Genk › BEL (4),,,,
Group 1st,Matchday ?,1|D,(Wed) 25 Sep 2002 (W38),Internazionale › ITA (4),1-0,0-0,AFC Ajax › NED (2),,,,
Group 1st,Matchday ?,1|D,(Wed) 25 Sep 2002 (W38),Olympique Lyon › FRA (2),5-0,4-0,Rosenborg BK › NOR (4),,,,
Group 1st,Matchday ?,1|E,(Tue) 1 Oct 2002 (W39),Feyenoord Rotterdam › NED (5),0-0,0-0,Dinamo Kiev › UKR (7),,,,
Group 1st,Matchday ?,1|E,(Tue) 1 Oct 2002 (W39),Juventus › ITA (3),2-0,0-0,Newcastle United FC › ENG (5),,,,
Group 1st,Matchday ?,1|F,(Tue) 1 Oct 2002 (W39),Maccabi Haifa › ISR (7),0-2,0-1,Bayer 04 Leverkusen › GER (3),,,,
Group 1st,Matchday ?,1|F,(Tue) 1 Oct 2002 (W39),Manchester United FC › ENG (5),4-0,2-0,Olympiacos › GRE (3),,,,
Group 1st,Matchday ?,1|G,(Tue) 1 Oct 2002 (W39),Deportivo La Coruna › ESP (3),3-1,0-1,RC Lens › FRA (3),,,,
Group 1st,Matchday ?,1|G,(Tue) 1 Oct 2002 (W39),Bayern München › GER (5),1-2,0-0,AC Milan › ITA (5),,,,
Group 1st,Matchday ?,1|H,(Tue) 1 Oct 2002 (W39),Galatasaray İstanbul AŞ › TUR (3),0-0,0-0,Club Brugge › BEL (7),,,,
Group 1st,Matchday ?,1|H,(Tue) 1 Oct 2002 (W39),Lokomotiv Moskva › RUS (5),1-3,0-2,FC Barcelona › ESP (5),,,,
Group 1st,Matchday ?,1|A,(Wed) 2 Oct 2002 (W39),AJ Auxerre › FRA (5),0-1,0-0,Arsenal FC › ENG (3),,,,
Group 1st,Matchday ?,1|A,(Wed) 2 Oct 2002 (W39),PSV Eindhoven › NED (3),1-3,0-1,Borussia Dortmund › GER (3),,,,
Group 1st,Matchday ?,1|B,(Wed) 2 Oct 2002 (W39),Liverpool FC › ENG (3),5-0,3-0,Spartak Moskva › RUS (3),,,,
Group 1st,Matchday ?,1|B,(Wed) 2 Oct 2002 (W39),Valencia CF › ESP (3),6-2,4-0,Basel › SUI (7),,,,
Group 1st,Matchday ?,1|C,(Wed) 2 Oct 2002 (W39),KRC Genk › BEL (5),0-1,0-0,AS Roma › ITA (3),,,,
Group 1st,Matchday ?,1|C,(Wed) 2 Oct 2002 (W39),AEK Athens › GRE (5),3-3,3-2,Real Madrid CF › ESP (3),,,,
Group 1st,Matchday ?,1|D,(Wed) 2 Oct 2002 (W39),Rosenborg BK › NOR (5),0-0,0-0,AFC Ajax › NED (3),,,,
Group 1st,Matchday ?,1|D,(Wed) 2 Oct 2002 (W39),Internazionale › ITA (5),1-2,0-1,Olympique Lyon › FRA (3),,,,
Group 1st,Matchday ?,1|A,(Tue) 22 Oct 2002 (W42),Borussia Dortmund › GER (4),1-1,1-0,PSV Eindhoven › NED (4),,,,
Group 1st,Matchday ?,1|A,(Tue) 22 Oct 2002 (W42),Arsenal FC › ENG (4),1-2,0-2,AJ Auxerre › FRA (6),,,,
Group 1st,Matchday ?,1|B,(Tue) 22 Oct 2002 (W42),Spartak Moskva › RUS (4),1-3,1-1,Liverpool FC › ENG (4),,,,
Group 1st,Matchday ?,1|B,(Tue) 22 Oct 2002 (W42),Basel › SUI (8),2-2,1-1,Valencia CF › ESP (4),,,,
Group 1st,Matchday ?,1|C,(Tue) 22 Oct 2002 (W42),AS Roma › ITA (4),0-0,0-0,KRC Genk › BEL (6),,,,
Group 1st,Matchday ?,1|C,(Tue) 22 Oct 2002 (W42),Real Madrid CF › ESP (4),2-2,2-0,AEK Athens › GRE (6),,,,
Group 1st,Matchday ?,1|D,(Tue) 22 Oct 2002 (W42),Olympique Lyon › FRA (4),3-3,2-1,Internazionale › ITA (6),,,,
Group 1st,Matchday ?,1|D,(Tue) 22 Oct 2002 (W42),AFC Ajax › NED (4),1-1,1-0,Rosenborg BK › NOR (6),,,,
Group 1st,Matchday ?,1|E,(Wed) 23 Oct 2002 (W42),Dinamo Kiev › UKR (8),2-0,1-0,Feyenoord Rotterdam › NED (6),,,,
Group 1st,Matchday ?,1|E,(Wed) 23 Oct 2002 (W42),Newcastle United FC › ENG (6),1-0,0-0,Juventus › ITA (4),,,,
Group 1st,Matchday ?,1|F,(Wed) 23 Oct 2002 (W42),Bayer 04 Leverkusen › GER (4),2-1,1-0,Maccabi Haifa › ISR (8),,,,
Group 1st,Matchday ?,1|F,(Wed) 23 Oct 2002 (W42),Olympiacos › GRE (4),2-3,0-1,Manchester United FC › ENG (6),,,,
Group 1st,Matchday ?,1|G,(Wed) 23 Oct 2002 (W42),RC Lens › FRA (4),3-1,0-1,Deportivo La Coruna › ESP (4),,,,
Group 1st,Matchday ?,1|G,(Wed) 23 Oct 2002 (W42),AC Milan › ITA (6),2-1,1-1,Bayern München › GER (6),,,,
Group 1st,Matchday ?,1|H,(Wed) 23 Oct 2002 (W42),FC Barcelona › ESP (6),1-0,0-0,Lokomotiv Moskva › RUS (6),,,,
Group 1st,Matchday ?,1|H,(Wed) 23 Oct 2002 (W42),Club Brugge › BEL (8),3-1,1-0,Galatasaray İstanbul AŞ › TUR (4),,,,
Group 1st,Matchday ?,1|E,(Tue) 29 Oct 2002 (W43),Juventus › ITA (5),2-0,1-0,Feyenoord Rotterdam › NED (7),,,,
Group 1st,Matchday ?,1|E,(Tue) 29 Oct 2002 (W43),Newcastle United FC › ENG (7),2-1,0-0,Dinamo Kiev › UKR (9),,,,
Group 1st,Matchday ?,1|F,(Tue) 29 Oct 2002 (W43),Bayer 04 Leverkusen › GER (5),2-0,1-0,Olympiacos › GRE (5),,,,
Group 1st,Matchday ?,1|F,(Tue) 29 Oct 2002 (W43),Maccabi Haifa › ISR (9),3-0,1-0,Manchester United FC › ENG (7),,,,
Group 1st,Matchday ?,1|G,(Tue) 29 Oct 2002 (W43),Deportivo La Coruna › ESP (5),2-1,0-0,Bayern München › GER (7),,,,
Group 1st,Matchday ?,1|G,(Tue) 29 Oct 2002 (W43),RC Lens › FRA (5),2-1,1-1,AC Milan › ITA (7),,,,
Group 1st,Matchday ?,1|H,(Tue) 29 Oct 2002 (W43),Galatasaray İstanbul AŞ › TUR (5),1-2,0-0,Lokomotiv Moskva › RUS (7),,,,
Group 1st,Matchday ?,1|H,(Tue) 29 Oct 2002 (W43),Club Brugge › BEL (9),0-1,0-0,FC Barcelona › ESP (7),,,,
Group 1st,Matchday ?,1|A,(Wed) 30 Oct 2002 (W43),Borussia Dortmund › GER (5),2-1,1-1,Arsenal FC › ENG (5),,,,
Group 1st,Matchday ?,1|A,(Wed) 30 Oct 2002 (W43),PSV Eindhoven › NED (5),3-0,1-0,AJ Auxerre › FRA (7),,,,
Group 1st,Matchday ?,1|B,(Wed) 30 Oct 2002 (W43),Liverpool FC › ENG (5),0-1,0-1,Valencia CF › ESP (5),,,,
Group 1st,Matchday ?,1|C,(Wed) 30 Oct 2002 (W43),AEK Athens › GRE (7),1-1,1-1,KRC Genk › BEL (7),,,,
Group 1st,Matchday ?,1|C,(Wed) 30 Oct 2002 (W43),Real Madrid CF › ESP (5),0-1,0-1,AS Roma › ITA (5),,,,
Group 1st,Matchday ?,1|D,(Wed) 30 Oct 2002 (W43),Olympique Lyon › FRA (5),0-2,0-1,AFC Ajax › NED (5),,,,
Group 1st,Matchday ?,1|D,(Wed) 30 Oct 2002 (W43),Internazionale › ITA (7),3-0,1-0,Rosenborg BK › NOR (7),,,,
Group 1st,Matchday ?,1|B,(Tue) 5 Nov 2002 (W44),Spartak Moskva › RUS (5),0-2,0-1,Basel › SUI (9),,,,
Group 1st,Matchday ?,1|A,(Tue) 12 Nov 2002 (W45),Arsenal FC › ENG (6),0-0,0-0,PSV Eindhoven › NED (6),,,,
Group 1st,Matchday ?,1|A,(Tue) 12 Nov 2002 (W45),AJ Auxerre › FRA (8),1-0,0-0,Borussia Dortmund › GER (6),,,,
Group 1st,Matchday ?,1|B,(Tue) 12 Nov 2002 (W45),Valencia CF › ESP (6),3-0,1-0,Spartak Moskva › RUS (6),,,,
Group 1st,Matchday ?,1|B,(Tue) 12 Nov 2002 (W45),Basel › SUI (10),3-3,3-0,Liverpool FC › ENG (6),,,,
Group 1st,Matchday ?,1|C,(Tue) 12 Nov 2002 (W45),AS Roma › ITA (6),1-1,1-0,AEK Athens › GRE (8),,,,
Group 1st,Matchday ?,1|C,(Tue) 12 Nov 2002 (W45),KRC Genk › BEL (8),1-1,0-1,Real Madrid CF › ESP (6),,,,
Group 1st,Matchday ?,1|D,(Tue) 12 Nov 2002 (W45),AFC Ajax › NED (6),1-2,0-0,Internazionale › ITA (8),,,,
Group 1st,Matchday ?,1|D,(Tue) 12 Nov 2002 (W45),Rosenborg BK › NOR (8),1-1,0-0,Olympique Lyon › FRA (6),,,,
