Round,Date,Team 1,FT,HT,Team 2,∑FT,ET,P,Comments
Round 1 | Leg 2,(Wed) 1 Oct 1975 (W39),Dinamo Kiev › UKR (2),1-0,0-0,Olympiacos › GRE (2),3-2 (agg.),,,
Round 1 | Leg 2,(Wed) 1 Oct 1975 (W39),Fenerbahçe İstanbul SK › TUR (2),1-0,0-0,SL Benfica › POR (2),1-7 (agg.),,,
Round 1 | Leg 2,(Wed) 1 Oct 1975 (W39),Hajduk Split › CRO (2),3-0,1-0,Floriana › MLT (2),8-0 (agg.),,,
Round 1 | Leg 2,(Wed) 1 Oct 1975 (W39),Kuopion PS › FIN (2),2-2,0-1,Ruch Chorzow › POL (2),2-7 (agg.),,,
Round 1 | Leg 2,(Wed) 1 Oct 1975 (W39),Viking FK › NOR (2),0-1,0-0,RWD Molenbeek › BEL (2),2-4 (agg.),,,
Round 1 | Leg 2,(Wed) 1 Oct 1975 (W39),PSV Eindhoven › NED (2),8-0,5-0,Linfield › NIR (2),10-1 (agg.),,,
Round of 16 | Leg 1,(Wed) 22 Oct 1975 (W42),AS Saint-Etienne › FRA (3),2-0,1-0,Rangers FC › SCO (3),,,,
Round of 16 | Leg 1,(Wed) 22 Oct 1975 (W42),Malmo FF › SWE (3),1-0,1-0,Bayern München › GER (3),,,,
Round of 16 | Leg 1,(Wed) 22 Oct 1975 (W42),Borussia Monchengladbach › GER (3),2-0,2-0,Juventus › ITA (3),,,,
Round of 16 | Leg 1,(Wed) 22 Oct 1975 (W42),Derby County FC › ENG (3),4-1,3-1,Real Madrid CF › ESP (3),,,,
Round of 16 | Leg 1,(Wed) 22 Oct 1975 (W42),Dinamo Kiev › UKR (3),3-0,2-0,IA Akranes › ISL (3),,,,
Round of 16 | Leg 1,(Wed) 22 Oct 1975 (W42),Hajduk Split › CRO (3),4-0,3-0,RWD Molenbeek › BEL (3),,,,
Round of 16 | Leg 1,(Wed) 22 Oct 1975 (W42),Ruch Chorzow › POL (3),1-3,1-0,PSV Eindhoven › NED (3),,,,
Round of 16 | Leg 1,(Wed) 22 Oct 1975 (W42),SL Benfica › POR (3),5-2,3-1,Ujpesti Dozsa SC › HUN (3),,,,
Round of 16 | Leg 2,(Wed) 5 Nov 1975 (W44),Rangers FC › SCO (4),1-2,0-0,AS Saint-Etienne › FRA (4),1-4 (agg.),,,
Round of 16 | Leg 2,(Wed) 5 Nov 1975 (W44),Bayern München › GER (4),2-0,0-0,Malmo FF › SWE (4),2-1 (agg.),,,
Round of 16 | Leg 2,(Wed) 5 Nov 1975 (W44),Juventus › ITA (4),2-2,1-0,Borussia Monchengladbach › GER (4),2-4 (agg.),,,
Round of 16 | Leg 2,(Wed) 5 Nov 1975 (W44),Real Madrid CF › ESP (4),4-1 (*),1-0,Derby County FC › ENG (4),5-5 (agg.),5-1 (a.e.t.),,
Round of 16 | Leg 2,(Wed) 5 Nov 1975 (W44),IA Akranes › ISL (4),0-2,0-1,Dinamo Kiev › UKR (4),0-5 (agg.),,,
Round of 16 | Leg 2,(Wed) 5 Nov 1975 (W44),RWD Molenbeek › BEL (4),2-3,1-0,Hajduk Split › CRO (4),2-7 (agg.),,,
Round of 16 | Leg 2,(Wed) 5 Nov 1975 (W44),Ujpesti Dozsa SC › HUN (4),3-1,1-0,SL Benfica › POR (4),5-6 (agg.),,,
Round of 16 | Leg 2,(Wed) 5 Nov 1975 (W44),PSV Eindhoven › NED (4),4-0,3-0,Ruch Chorzow › POL (4),7-1 (agg.),,,
Quarterfinals | Leg 1,(Wed) 3 Mar 1976 (W9),Borussia Monchengladbach › GER (5),2-2,2-1,Real Madrid CF › ESP (5),,,,
Quarterfinals | Leg 1,(Wed) 3 Mar 1976 (W9),Dinamo Kiev › UKR (5),2-0,1-0,AS Saint-Etienne › FRA (5),,,,
Quarterfinals | Leg 1,(Wed) 3 Mar 1976 (W9),SL Benfica › POR (5),0-0,0-0,Bayern München › GER (5),,,,
Quarterfinals | Leg 1,(Wed) 3 Mar 1976 (W9),Hajduk Split › CRO (5),2-0,2-0,PSV Eindhoven › NED (5),,,,
Quarterfinals | Leg 2,(Wed) 17 Mar 1976 (W11),Real Madrid CF › ESP (6),1-1,0-1,Borussia Monchengladbach › GER (6),3-3 (agg.),,,away goals
Quarterfinals | Leg 2,(Wed) 17 Mar 1976 (W11),AS Saint-Etienne › FRA (6),2-0 (*),0-0,Dinamo Kiev › UKR (6),2-2 (agg.),3-0 (a.e.t.),,
Quarterfinals | Leg 2,(Wed) 17 Mar 1976 (W11),PSV Eindhoven › NED (6),2-0 (*),0-0,Hajduk Split › CRO (6),2-2 (agg.),3-0 (a.e.t.),,
Quarterfinals | Leg 2,(Wed) 17 Mar 1976 (W11),Bayern München › GER (6),5-1,0-0,SL Benfica › POR (6),5-1 (agg.),,,
Semifinals | Leg 1,(Wed) 31 Mar 1976 (W13),AS Saint-Etienne › FRA (7),1-0,1-0,PSV Eindhoven › NED (7),,,,
Semifinals | Leg 1,(Wed) 31 Mar 1976 (W13),Real Madrid CF › ESP (7),1-1,1-1,Bayern München › GER (7),,,,
Semifinals | Leg 2,(Wed) 14 Apr 1976 (W15),Bayern München › GER (8),2-0,2-0,Real Madrid CF › ESP (8),3-1 (agg.),,,
Semifinals | Leg 2,(Wed) 14 Apr 1976 (W15),PSV Eindhoven › NED (8),0-0,0-0,AS Saint-Etienne › FRA (8),0-1 (agg.),,,
Final,(Wed) 12 May 1976 (W19),Bayern München › GER (9),1-0,0-0,AS Saint-Etienne › FRA (9),,,,
