Stage,Round,Group,Date,Team 1,FT,HT,Team 2,∑FT,ET,P,Comments
Qualifying,Qual. Round 1 | Leg 1,,(Wed) 11 Jul 2001 (W28),Sloga Jugomagnat Skopje › MKD (1),0-0,0-0,FBK Kaunas › LTU (1),1-1 (agg.),,,
Qualifying,Qual. Round 1 | Leg 2,,(Wed) 18 Jul 2001 (W29),FK Vllaznia › ALB (2),1-0,0-0,KR Reykjavik › ISL (2),2-2 (agg.),,,away goals
Qualifying,Qual. Round 1 | Leg 2,,(Wed) 18 Jul 2001 (W29),Sheriff Tiraspol › MDA (2),2-0,0-0,Araks Ararat › ARM (2),3-0 (agg.),,,
Qualifying,Qual. Round 1 | Leg 2,,(Wed) 18 Jul 2001 (W29),Shamkir › AZE (2),0-1,0-0,Barry Town › WAL (2),0-3 (agg.),,,
Qualifying,Qual. Round 1 | Leg 2,,(Wed) 18 Jul 2001 (W29),Levadia › EST (2),0-0,0-0,Bohemians › IRL (2),0-3 (agg.),,,
Qualifying,Qual. Round 1 | Leg 2,,(Wed) 18 Jul 2001 (W29),Skonto › LVA (2),0-1,0-0,F91 Dudelange › LUX (2),6-2 (agg.),,,
Qualifying,Qual. Round 1 | Leg 2,,(Wed) 18 Jul 2001 (W29),PFC Slavia Sofia › BUL (2),5-0,0-0,Vagur › FRO (2),5-0 (agg.),,,
Qualifying,Qual. Round 1 | Leg 2,,(Wed) 18 Jul 2001 (W29),Zeljeznicar Sarajevo › BIH (2),0-0,0-0,Levski Sofia › BUL (2),0-4 (agg.),,,
Qualifying,Qual. Round 1 | Leg 2,,(Wed) 18 Jul 2001 (W29),Torpedo Kutaisi › GEO (2),1-0,0-0,Linfield › NIR (2),1-0 (agg.),,,
Qualifying,Qual. Round 1 | Leg 2,,(Wed) 18 Jul 2001 (W29),Haka Valkeakoski › FIN (2),5-0,0-0,Valletta › MLT (2),5-0 (agg.),,,
Qualifying,Qual. Round 2 | Leg 1,,(Wed) 25 Jul 2001 (W30),Ferencvaros › HUN (1),0-0,0-0,Hajduk Split › CRO (1),0-0 (agg.),,,
Qualifying,Qual. Round 2 | Leg 1,,(Wed) 25 Jul 2001 (W30),Levski Sofia › BUL (3),0-0,0-0,Brann › NOR (1),1-1 (agg.),,,
Qualifying,Qual. Round 2 | Leg 1,,(Wed) 25 Jul 2001 (W30),FC Porto › POR (1),8-0,0-0,Barry Town › WAL (3),9-3 (agg.),,,
Qualifying,Qual. Round 2 | Leg 1,,(Wed) 25 Jul 2001 (W30),Bohemians › IRL (3),1-2,0-0,Halmstads BK › SWE (1),1-4 (agg.),,,
Qualifying,Qual. Round 2 | Leg 1,,(Wed) 25 Jul 2001 (W30),Omonia Nicosia › CYP (1),1-1,0-0,Crvena Zvezda › SRB (1),2-3 (agg.),,,
Qualifying,Qual. Round 2 | Leg 1,,(Wed) 25 Jul 2001 (W30),PFC Slavia Sofia › BUL (3),0-1,0-0,FK Inter Bratislava › SVK (1),0-2 (agg.),,,
Qualifying,Qual. Round 2 | Leg 1,,(Wed) 25 Jul 2001 (W30),Galatasaray İstanbul AŞ › TUR (1),2-0,0-0,FK Vllaznia › ALB (3),6-1 (agg.),,,
Qualifying,Qual. Round 2 | Leg 1,,(Wed) 25 Jul 2001 (W30),Haka Valkeakoski › FIN (3),0-1,0-0,Maccabi Haifa › ISR (1),3-1 (agg.),,,
Qualifying,Qual. Round 2 | Leg 1,,(Wed) 25 Jul 2001 (W30),Torpedo Kutaisi › GEO (3),1-1,0-0,Kobenhavn › DEN (1),2-4 (agg.),,,
Qualifying,Qual. Round 2 | Leg 1,,(Wed) 25 Jul 2001 (W30),Shakhtar Donetsk › UKR (1),3-0,0-0,Lugano › SUI (1),4-2 (agg.),,,
Qualifying,Qual. Round 2 | Leg 1,,(Wed) 25 Jul 2001 (W30),NK Maribor › SVN (1),0-3,0-0,Rangers FC › SCO (1),1-6 (agg.),,,
Qualifying,Qual. Round 2 | Leg 1,,(Wed) 25 Jul 2001 (W30),Steaua Bucuresti › ROU (1),3-0,0-0,Sloga Jugomagnat Skopje › MKD (3),5-1 (agg.),,,
Qualifying,Qual. Round 2 | Leg 1,,(Wed) 25 Jul 2001 (W30),Skonto › LVA (3),1-2,0-0,Wisla Krakow › POL (1),1-3 (agg.),,,
Qualifying,Qual. Round 2 | Leg 1,,(Wed) 25 Jul 2001 (W30),RSC Anderlecht › BEL (1),4-0,0-0,Sheriff Tiraspol › MDA (3),6-1 (agg.),,,
Qualifying,Qual. Round 2 | Leg 2,,(Wed) 1 Aug 2001 (W31),Hajduk Split › CRO (2),0-0 (*),0-0,Ferencvaros › HUN (2),0-0 (agg.),0-0 (a.e.t.),5-4 (pen.),
Qualifying,Qual. Round 2 | Leg 2,,(Wed) 1 Aug 2001 (W31),Brann › NOR (2),1-1,0-0,Levski Sofia › BUL (4),1-1 (agg.),,,away goals
Qualifying,Qual. Round 2 | Leg 2,,(Wed) 1 Aug 2001 (W31),Barry Town › WAL (4),3-1,0-0,FC Porto › POR (2),3-9 (agg.),,,
Qualifying,Qual. Round 2 | Leg 2,,(Wed) 1 Aug 2001 (W31),Halmstads BK › SWE (2),2-0,0-0,Bohemians › IRL (4),4-1 (agg.),,,
Qualifying,Qual. Round 2 | Leg 2,,(Wed) 1 Aug 2001 (W31),Crvena Zvezda › SRB (2),2-1,0-0,Omonia Nicosia › CYP (2),3-2 (agg.),,,
Qualifying,Qual. Round 2 | Leg 2,,(Wed) 1 Aug 2001 (W31),FK Inter Bratislava › SVK (2),1-0,0-0,PFC Slavia Sofia › BUL (4),2-0 (agg.),,,
Qualifying,Qual. Round 2 | Leg 2,,(Wed) 1 Aug 2001 (W31),FK Vllaznia › ALB (4),1-4,0-0,Galatasaray İstanbul AŞ › TUR (2),1-6 (agg.),,,
Qualifying,Qual. Round 2 | Leg 2,,(Wed) 1 Aug 2001 (W31),Maccabi Haifa › ISR (2),0-3,0-0,Haka Valkeakoski › FIN (4),1-3 (agg.),,,
Qualifying,Qual. Round 2 | Leg 2,,(Wed) 1 Aug 2001 (W31),Sloga Jugomagnat Skopje › MKD (4),1-2,0-0,Steaua Bucuresti › ROU (2),1-5 (agg.),,,
Qualifying,Qual. Round 2 | Leg 2,,(Wed) 1 Aug 2001 (W31),Lugano › SUI (2),2-1,0-0,Shakhtar Donetsk › UKR (2),2-4 (agg.),,,
Qualifying,Qual. Round 2 | Leg 2,,(Wed) 1 Aug 2001 (W31),Rangers FC › SCO (2),3-1,0-0,NK Maribor › SVN (2),6-1 (agg.),,,
Qualifying,Qual. Round 2 | Leg 2,,(Wed) 1 Aug 2001 (W31),Sheriff Tiraspol › MDA (4),1-2,0-0,RSC Anderlecht › BEL (2),1-6 (agg.),,,
Qualifying,Qual. Round 2 | Leg 2,,(Wed) 1 Aug 2001 (W31),Wisla Krakow › POL (2),1-0,0-0,Skonto › LVA (4),3-1 (agg.),,,
Qualifying,Qual. Round 2 | Leg 2,,(Wed) 1 Aug 2001 (W31),Kobenhavn › DEN (2),3-1,0-0,Torpedo Kutaisi › GEO (4),4-2 (agg.),,,
Qualifying,Qual. Round 3 | Leg 1,,(Tue) 7 Aug 2001 (W32),Lokomotiv Moskva › RUS (1),3-1,0-0,SSW Innsbruck › AUT (1),3-2 (agg.),,,
Qualifying,Qual. Round 3 | Leg 1,,(Tue) 7 Aug 2001 (W32),Shakhtar Donetsk › UKR (3),0-2,0-0,Borussia Dortmund › GER (1),1-5 (agg.),,,
Qualifying,Qual. Round 3 | Leg 1,,(Tue) 7 Aug 2001 (W32),Kobenhavn › DEN (3),2-1,0-0,SS Lazio › ITA (1),3-5 (agg.),,,
Qualifying,Qual. Round 3 | Leg 1,,(Tue) 7 Aug 2001 (W32),Wisla Krakow › POL (3),3-4,0-0,FC Barcelona › ESP (1),3-5 (agg.),,,
Qualifying,Qual. Round 3 | Leg 1,,(Wed) 8 Aug 2001 (W32),AFC Ajax › NED (1),1-3,0-0,Celtic FC › SCO (1),2-3 (agg.),,,
Qualifying,Qual. Round 3 | Leg 1,,(Wed) 8 Aug 2001 (W32),Crvena Zvezda › SRB (3),0-0,0-0,Bayer 04 Leverkusen › GER (1),0-3 (agg.),,,
Qualifying,Qual. Round 3 | Leg 1,,(Wed) 8 Aug 2001 (W32),Steaua Bucuresti › ROU (3),2-4,0-0,Dinamo Kiev › UKR (1),3-5 (agg.),,,
Qualifying,Qual. Round 3 | Leg 1,,(Wed) 8 Aug 2001 (W32),FC Porto › POR (3),2-2,0-0,Grasshoppers Zurich › SUI (1),5-4 (agg.),,,
Qualifying,Qual. Round 3 | Leg 1,,(Wed) 8 Aug 2001 (W32),Rangers FC › SCO (3),0-0,0-0,Fenerbahçe İstanbul SK › TUR (1),1-2 (agg.),,,
Qualifying,Qual. Round 3 | Leg 1,,(Wed) 8 Aug 2001 (W32),FK Inter Bratislava › SVK (3),3-3,0-0,Rosenborg BK › NOR (1),3-7 (agg.),,,
Qualifying,Qual. Round 3 | Leg 1,,(Wed) 8 Aug 2001 (W32),Slavia Praha › CZE (1),1-2,0-0,Panathinaikos FC › GRE (1),1-3 (agg.),,,
Qualifying,Qual. Round 3 | Leg 1,,(Wed) 8 Aug 2001 (W32),Hajduk Split › CRO (3),1-0,0-0,RCD Mallorca › ESP (1),1-1 (agg.),,,
Qualifying,Qual. Round 3 | Leg 1,,(Wed) 8 Aug 2001 (W32),Haka Valkeakoski › FIN (5),0-5,0-0,Liverpool FC › ENG (1),1-9 (agg.),,,
Qualifying,Qual. Round 3 | Leg 1,,(Wed) 8 Aug 2001 (W32),Halmstads BK › SWE (3),2-3,0-0,RSC Anderlecht › BEL (3),3-4 (agg.),,,
Qualifying,Qual. Round 3 | Leg 1,,(Wed) 8 Aug 2001 (W32),Parma › ITA (1),0-2,0-0,Lille OSC › FRA (1),1-2 (agg.),,,
Qualifying,Qual. Round 3 | Leg 1,,(Wed) 8 Aug 2001 (W32),Galatasaray İstanbul AŞ › TUR (3),2-1,0-0,Levski Sofia › BUL (5),3-2 (agg.),,,
Qualifying,Qual. Round 3 | Leg 2,,(Tue) 21 Aug 2001 (W34),FC Barcelona › ESP (2),1-0,0-0,Wisla Krakow › POL (4),5-3 (agg.),,,
Qualifying,Qual. Round 3 | Leg 2,,(Tue) 21 Aug 2001 (W34),Borussia Dortmund › GER (2),3-1,0-0,Shakhtar Donetsk › UKR (4),5-1 (agg.),,,
Qualifying,Qual. Round 3 | Leg 2,,(Tue) 21 Aug 2001 (W34),SS Lazio › ITA (2),4-1,0-0,Kobenhavn › DEN (4),5-3 (agg.),,,
Qualifying,Qual. Round 3 | Leg 2,,(Tue) 21 Aug 2001 (W34),SSW Innsbruck › AUT (2),1-0,0-0,Lokomotiv Moskva › RUS (2),2-3 (agg.),,,
Qualifying,Qual. Round 3 | Leg 2,,(Wed) 22 Aug 2001 (W34),Grasshoppers Zurich › SUI (2),2-3,0-0,FC Porto › POR (4),4-5 (agg.),,,
Qualifying,Qual. Round 3 | Leg 2,,(Wed) 22 Aug 2001 (W34),Bayer 04 Leverkusen › GER (2),3-0,0-0,Crvena Zvezda › SRB (4),3-0 (agg.),,,
Qualifying,Qual. Round 3 | Leg 2,,(Wed) 22 Aug 2001 (W34),Dinamo Kiev › UKR (2),1-1,0-0,Steaua Bucuresti › ROU (4),5-3 (agg.),,,
Qualifying,Qual. Round 3 | Leg 2,,(Wed) 22 Aug 2001 (W34),Celtic FC › SCO (2),0-1,0-0,AFC Ajax › NED (2),3-2 (agg.),,,
Qualifying,Qual. Round 3 | Leg 2,,(Wed) 22 Aug 2001 (W34),Fenerbahçe İstanbul SK › TUR (2),2-1,0-0,Rangers FC › SCO (4),2-1 (agg.),,,
Qualifying,Qual. Round 3 | Leg 2,,(Wed) 22 Aug 2001 (W34),Rosenborg BK › NOR (2),4-0,0-0,FK Inter Bratislava › SVK (4),7-3 (agg.),,,
Qualifying,Qual. Round 3 | Leg 2,,(Wed) 22 Aug 2001 (W34),Levski Sofia › BUL (6),1-1,0-0,Galatasaray İstanbul AŞ › TUR (4),2-3 (agg.),,,
Qualifying,Qual. Round 3 | Leg 2,,(Wed) 22 Aug 2001 (W34),RCD Mallorca › ESP (2),1-0 (*),0-0,Hajduk Split › CRO (4),1-1 (agg.),2-0 (a.e.t.),,
Qualifying,Qual. Round 3 | Leg 2,,(Wed) 22 Aug 2001 (W34),Liverpool FC › ENG (2),4-1,0-0,Haka Valkeakoski › FIN (6),9-1 (agg.),,,
Qualifying,Qual. Round 3 | Leg 2,,(Wed) 22 Aug 2001 (W34),RSC Anderlecht › BEL (4),1-1,0-0,Halmstads BK › SWE (4),4-3 (agg.),,,
Qualifying,Qual. Round 3 | Leg 2,,(Wed) 22 Aug 2001 (W34),Lille OSC › FRA (2),0-1,0-0,Parma › ITA (2),2-1 (agg.),,,
Qualifying,Qual. Round 3 | Leg 2,,(Wed) 22 Aug 2001 (W34),Panathinaikos FC › GRE (2),1-0,0-0,Slavia Praha › CZE (2),3-1 (agg.),,,
Group 1st,Matchday ?,1|A,(Tue) 11 Sep 2001 (W37),Lokomotiv Moskva › RUS (3),1-1,1-1,RSC Anderlecht › BEL (5),,,,
Group 1st,Matchday ?,1|A,(Tue) 11 Sep 2001 (W37),AS Roma › ITA (1),1-2,0-0,Real Madrid CF › ESP (1),,,,
Group 1st,Matchday ?,1|B,(Tue) 11 Sep 2001 (W37),Dinamo Kiev › UKR (3),2-2,2-0,Borussia Dortmund › GER (3),,,,
Group 1st,Matchday ?,1|B,(Tue) 11 Sep 2001 (W37),Liverpool FC › ENG (3),1-1,1-1,Boavista FC › POR (1),,,,
Group 1st,Matchday ?,1|C,(Tue) 11 Sep 2001 (W37),RCD Mallorca › ESP (3),1-0,1-0,Arsenal FC › ENG (1),,,,
Group 1st,Matchday ?,1|C,(Tue) 11 Sep 2001 (W37),FC Schalke 04 › GER (1),0-2,0-0,Panathinaikos FC › GRE (3),,,,
Group 1st,Matchday ?,1|D,(Tue) 11 Sep 2001 (W37),FC Nantes › FRA (1),4-1,3-0,PSV Eindhoven › NED (1),,,,
Group 1st,Matchday ?,1|D,(Tue) 11 Sep 2001 (W37),Galatasaray İstanbul AŞ › TUR (5),1-0,0-0,SS Lazio › ITA (3),,,,
Group 1st,Matchday ?,1|E,(Tue) 18 Sep 2001 (W38),Juventus › ITA (1),3-2,1-0,Celtic FC › SCO (3),,,,
Group 1st,Matchday ?,1|E,(Tue) 18 Sep 2001 (W38),Rosenborg BK › NOR (3),1-2,0-1,FC Porto › POR (5),,,,
Group 1st,Matchday ?,1|F,(Tue) 18 Sep 2001 (W38),Fenerbahçe İstanbul SK › TUR (3),0-3,0-2,FC Barcelona › ESP (3),,,,
Group 1st,Matchday ?,1|F,(Tue) 18 Sep 2001 (W38),Olympique Lyon › FRA (1),0-1,0-0,Bayer 04 Leverkusen › GER (3),,,,
Group 1st,Matchday ?,1|G,(Tue) 18 Sep 2001 (W38),Deportivo La Coruna › ESP (1),2-2,1-0,Olympiacos › GRE (1),,,,
Group 1st,Matchday ?,1|G,(Tue) 18 Sep 2001 (W38),Manchester United FC › ENG (1),1-0,0-0,Lille OSC › FRA (3),,,,
Group 1st,Matchday ?,1|H,(Tue) 18 Sep 2001 (W38),Spartak Moskva › RUS (1),2-2,0-1,Feyenoord Rotterdam › NED (1),,,,
Group 1st,Matchday ?,1|H,(Tue) 18 Sep 2001 (W38),Bayern München › GER (1),0-0,0-0,Sparta Praha › CZE (1),,,,
Group 1st,Matchday ?,1|A,(Wed) 19 Sep 2001 (W38),Real Madrid CF › ESP (2),4-0,1-0,Lokomotiv Moskva › RUS (4),,,,
Group 1st,Matchday ?,1|A,(Wed) 19 Sep 2001 (W38),RSC Anderlecht › BEL (6),0-0,0-0,AS Roma › ITA (2),,,,
Group 1st,Matchday ?,1|B,(Wed) 19 Sep 2001 (W38),Borussia Dortmund › GER (4),0-0,0-0,Liverpool FC › ENG (4),,,,
Group 1st,Matchday ?,1|B,(Wed) 19 Sep 2001 (W38),Boavista FC › POR (2),3-1,3-1,Dinamo Kiev › UKR (4),,,,
Group 1st,Matchday ?,1|C,(Wed) 19 Sep 2001 (W38),Arsenal FC › ENG (2),3-2,2-1,FC Schalke 04 › GER (2),,,,
Group 1st,Matchday ?,1|C,(Wed) 19 Sep 2001 (W38),Panathinaikos FC › GRE (4),2-0,2-0,RCD Mallorca › ESP (4),,,,
Group 1st,Matchday ?,1|D,(Wed) 19 Sep 2001 (W38),SS Lazio › ITA (4),1-3,1-1,FC Nantes › FRA (2),,,,
Group 1st,Matchday ?,1|D,(Wed) 19 Sep 2001 (W38),PSV Eindhoven › NED (2),3-1,1-0,Galatasaray İstanbul AŞ › TUR (6),,,,
Group 1st,Matchday ?,1|E,(Tue) 25 Sep 2001 (W39),Celtic FC › SCO (4),1-0,1-0,FC Porto › POR (6),,,,
Group 1st,Matchday ?,1|E,(Tue) 25 Sep 2001 (W39),Rosenborg BK › NOR (4),1-1,0-0,Juventus › ITA (2),,,,
Group 1st,Matchday ?,1|F,(Tue) 25 Sep 2001 (W39),Bayer 04 Leverkusen › GER (4),2-1,0-1,FC Barcelona › ESP (4),,,,
Group 1st,Matchday ?,1|F,(Tue) 25 Sep 2001 (W39),Fenerbahçe İstanbul SK › TUR (4),0-1,0-0,Olympique Lyon › FRA (2),,,,
Group 1st,Matchday ?,1|G,(Tue) 25 Sep 2001 (W39),Deportivo La Coruna › ESP (2),2-1,0-1,Manchester United FC › ENG (2),,,,
Group 1st,Matchday ?,1|G,(Tue) 25 Sep 2001 (W39),Lille OSC › FRA (4),3-1,2-0,Olympiacos › GRE (2),,,,
Group 1st,Matchday ?,1|H,(Tue) 25 Sep 2001 (W39),Sparta Praha › CZE (2),4-0,2-0,Feyenoord Rotterdam › NED (2),,,,
Group 1st,Matchday ?,1|H,(Tue) 25 Sep 2001 (W39),Spartak Moskva › RUS (2),1-3,0-2,Bayern München › GER (2),,,,
Group 1st,Matchday ?,1|A,(Wed) 26 Sep 2001 (W39),Real Madrid CF › ESP (3),4-1,0-1,RSC Anderlecht › BEL (7),,,,
Group 1st,Matchday ?,1|A,(Wed) 26 Sep 2001 (W39),AS Roma › ITA (3),2-1,0-0,Lokomotiv Moskva › RUS (5),,,,
Group 1st,Matchday ?,1|B,(Wed) 26 Sep 2001 (W39),Liverpool FC › ENG (5),1-0,1-0,Dinamo Kiev › UKR (5),,,,
Group 1st,Matchday ?,1|B,(Wed) 26 Sep 2001 (W39),Boavista FC › POR (3),2-1,2-0,Borussia Dortmund › GER (5),,,,
Group 1st,Matchday ?,1|C,(Wed) 26 Sep 2001 (W39),Panathinaikos FC › GRE (5),1-0,1-0,Arsenal FC › ENG (3),,,,
Group 1st,Matchday ?,1|C,(Wed) 26 Sep 2001 (W39),FC Schalke 04 › GER (3),0-1,0-0,RCD Mallorca › ESP (5),,,,
Group 1st,Matchday ?,1|D,(Wed) 26 Sep 2001 (W39),PSV Eindhoven › NED (3),1-0,1-0,SS Lazio › ITA (5),,,,
Group 1st,Matchday ?,1|D,(Wed) 26 Sep 2001 (W39),FC Nantes › FRA (3),0-1,0-0,Galatasaray İstanbul AŞ › TUR (7),,,,
Group 1st,Matchday ?,1|E,(Wed) 10 Oct 2001 (W41),Celtic FC › SCO (5),1-0,1-0,Rosenborg BK › NOR (5),,,,
Group 1st,Matchday ?,1|E,(Wed) 10 Oct 2001 (W41),FC Porto › POR (7),0-0,0-0,Juventus › ITA (3),,,,
Group 1st,Matchday ?,1|F,(Wed) 10 Oct 2001 (W41),FC Barcelona › ESP (5),2-0,0-0,Olympique Lyon › FRA (3),,,,
Group 1st,Matchday ?,1|F,(Wed) 10 Oct 2001 (W41),Bayer 04 Leverkusen › GER (5),2-1,1-1,Fenerbahçe İstanbul SK › TUR (5),,,,
Group 1st,Matchday ?,1|G,(Wed) 10 Oct 2001 (W41),Lille OSC › FRA (5),1-1,0-0,Deportivo La Coruna › ESP (3),,,,
Group 1st,Matchday ?,1|G,(Wed) 10 Oct 2001 (W41),Olympiacos › GRE (3),0-2,0-0,Manchester United FC › ENG (3),,,,
Group 1st,Matchday ?,1|H,(Wed) 10 Oct 2001 (W41),Feyenoord Rotterdam › NED (3),2-2,2-1,Bayern München › GER (3),,,,
Group 1st,Matchday ?,1|H,(Wed) 10 Oct 2001 (W41),Sparta Praha › CZE (3),2-0,0-0,Spartak Moskva › RUS (3),,,,
Group 1st,Matchday ?,1|A,(Tue) 16 Oct 2001 (W42),Lokomotiv Moskva › RUS (6),0-1,0-0,AS Roma › ITA (4),,,,
Group 1st,Matchday ?,1|A,(Tue) 16 Oct 2001 (W42),RSC Anderlecht › BEL (8),0-2,0-2,Real Madrid CF › ESP (4),,,,
Group 1st,Matchday ?,1|B,(Tue) 16 Oct 2001 (W42),Dinamo Kiev › UKR (6),1-2,0-1,Liverpool FC › ENG (6),,,,
Group 1st,Matchday ?,1|B,(Tue) 16 Oct 2001 (W42),Borussia Dortmund › GER (6),2-1,0-1,Boavista FC › POR (4),,,,
Group 1st,Matchday ?,1|C,(Tue) 16 Oct 2001 (W42),RCD Mallorca › ESP (6),0-4,0-2,FC Schalke 04 › GER (4),,,,
Group 1st,Matchday ?,1|C,(Tue) 16 Oct 2001 (W42),Arsenal FC › ENG (4),2-1,1-0,Panathinaikos FC › GRE (6),,,,
Group 1st,Matchday ?,1|D,(Tue) 16 Oct 2001 (W42),Galatasaray İstanbul AŞ › TUR (8),0-0,0-0,FC Nantes › FRA (4),,,,
Group 1st,Matchday ?,1|D,(Tue) 16 Oct 2001 (W42),SS Lazio › ITA (6),2-1,1-0,PSV Eindhoven › NED (4),,,,
Group 1st,Matchday ?,1|E,(Wed) 17 Oct 2001 (W42),Juventus › ITA (4),1-0,1-0,Rosenborg BK › NOR (6),,,,
Group 1st,Matchday ?,1|E,(Wed) 17 Oct 2001 (W42),FC Porto › POR (8),3-0,2-0,Celtic FC › SCO (6),,,,
Group 1st,Matchday ?,1|F,(Wed) 17 Oct 2001 (W42),FC Barcelona › ESP (6),2-1,2-1,Bayer 04 Leverkusen › GER (6),,,,
Group 1st,Matchday ?,1|F,(Wed) 17 Oct 2001 (W42),Olympique Lyon › FRA (4),3-1,1-1,Fenerbahçe İstanbul SK › TUR (6),,,,
Group 1st,Matchday ?,1|G,(Wed) 17 Oct 2001 (W42),Manchester United FC › ENG (4),2-3,2-2,Deportivo La Coruna › ESP (4),,,,
Group 1st,Matchday ?,1|G,(Wed) 17 Oct 2001 (W42),Olympiacos › GRE (4),2-1,0-1,Lille OSC › FRA (6),,,,
Group 1st,Matchday ?,1|H,(Wed) 17 Oct 2001 (W42),Feyenoord Rotterdam › NED (4),0-2,0-1,Sparta Praha › CZE (4),,,,
Group 1st,Matchday ?,1|H,(Wed) 17 Oct 2001 (W42),Bayern München › GER (4),5-1,3-0,Spartak Moskva › RUS (4),,,,
Group 1st,Matchday ?,1|E,(Tue) 23 Oct 2001 (W43),Rosenborg BK › NOR (7),2-0,2-0,Celtic FC › SCO (7),,,,
Group 1st,Matchday ?,1|E,(Tue) 23 Oct 2001 (W43),Juventus › ITA (5),3-1,1-1,FC Porto › POR (9),,,,
Group 1st,Matchday ?,1|F,(Tue) 23 Oct 2001 (W43),Fenerbahçe İstanbul SK › TUR (7),1-2,1-2,Bayer 04 Leverkusen › GER (7),,,,
Group 1st,Matchday ?,1|F,(Tue) 23 Oct 2001 (W43),Olympique Lyon › FRA (5),2-3,0-2,FC Barcelona › ESP (7),,,,
Group 1st,Matchday ?,1|G,(Tue) 23 Oct 2001 (W43),Manchester United FC › ENG (5),3-0,0-0,Olympiacos › GRE (5),,,,
Group 1st,Matchday ?,1|G,(Tue) 23 Oct 2001 (W43),Deportivo La Coruna › ESP (5),1-1,1-1,Lille OSC › FRA (7),,,,
Group 1st,Matchday ?,1|H,(Tue) 23 Oct 2001 (W43),Bayern München › GER (5),3-1,2-1,Feyenoord Rotterdam › NED (5),,,,
Group 1st,Matchday ?,1|H,(Tue) 23 Oct 2001 (W43),Spartak Moskva › RUS (5),2-2,2-1,Sparta Praha › CZE (5),,,,
Group 1st,Matchday ?,1|A,(Wed) 24 Oct 2001 (W43),Real Madrid CF › ESP (5),1-1,0-1,AS Roma › ITA (5),,,,
Group 1st,Matchday ?,1|A,(Wed) 24 Oct 2001 (W43),RSC Anderlecht › BEL (9),1-5,1-2,Lokomotiv Moskva › RUS (7),,,,
Group 1st,Matchday ?,1|B,(Wed) 24 Oct 2001 (W43),Borussia Dortmund › GER (7),1-0,1-0,Dinamo Kiev › UKR (7),,,,
Group 1st,Matchday ?,1|B,(Wed) 24 Oct 2001 (W43),Boavista FC › POR (5),1-1,0-1,Liverpool FC › ENG (7),,,,
Group 1st,Matchday ?,1|C,(Wed) 24 Oct 2001 (W43),Panathinaikos FC › GRE (7),2-0,1-0,FC Schalke 04 › GER (5),,,,
Group 1st,Matchday ?,1|C,(Wed) 24 Oct 2001 (W43),Arsenal FC › ENG (5),3-1,0-0,RCD Mallorca › ESP (7),,,,
Group 1st,Matchday ?,1|D,(Wed) 24 Oct 2001 (W43),SS Lazio › ITA (7),1-0,0-0,Galatasaray İstanbul AŞ › TUR (9),,,,
Group 1st,Matchday ?,1|D,(Wed) 24 Oct 2001 (W43),PSV Eindhoven › NED (5),0-0,0-0,FC Nantes › FRA (5),,,,
Group 1st,Matchday ?,1|A,(Tue) 30 Oct 2001 (W44),Lokomotiv Moskva › RUS (8),2-0,1-0,Real Madrid CF › ESP (6),,,,
Group 1st,Matchday ?,1|A,(Tue) 30 Oct 2001 (W44),AS Roma › ITA (6),1-1,0-1,RSC Anderlecht › BEL (10),,,,
