Round,Date,Team 1,FT,HT,Team 2,∑FT,ET,P
Round of 16 | Leg 1,(Wed) 12 Nov 1958 (W45),Wolverhampton Wanderers FC › ENG (1),2-2,0-1,FC Schalke 04 › GER (4),,,
Round of 16 | Leg 2,(Wed) 12 Nov 1958 (W45),Standard Liege › BEL (4),3-0,0-0,Sporting CP › POR (4),6-2 (agg.),,
Round of 16 | Leg 1,(Thu) 13 Nov 1958 (W45),Real Madrid CF › ESP (1),2-0,0-0,Beşiktaş İstanbul JK › TUR (1),,,
Round of 16 | Leg 2,(Sat) 15 Nov 1958 (W45),SC Wismut Karl-Marx-Stadt › GER (5),4-0,1-0,IFK Goteborg › SWE (5),6-2 (agg.),,
Round of 16 | Leg 2,(Tue) 18 Nov 1958 (W46),FC Schalke 04 › GER (5),2-1,2-0,Wolverhampton Wanderers FC › ENG (2),4-3 (agg.),,
Round of 16 | Leg 1,(Wed) 26 Nov 1958 (W47),Stade Reims › FRA (3),4-0,2-0,HPS Helsinki › FIN (1),,,
Round of 16 | Leg 2,(Thu) 27 Nov 1958 (W47),Beşiktaş İstanbul JK › TUR (2),1-1,0-1,Real Madrid CF › ESP (2),1-3 (agg.),,
Round of 16 | Leg 2,(Fri) 28 Nov 1958 (W47),Dukla Praha › CZE (4),1-0,0-0,Wiener Sport-Club › AUT (4),2-3 (agg.),,
Round of 16 | Leg 2,(Fri) 28 Nov 1958 (W47),BSC Young Boys › SUI (2),4-1,2-0,MTK › HUN (4),6-2 (agg.),,
Round of 16 | Leg 2,(Fri) 28 Nov 1958 (W47),CDNA Sofia › BUL (2),1-0,0-0,Atletico Madrid › ESP (4),2-2 (agg.),,
Round of 16 | Leg 2,(Wed) 3 Dec 1958 (W48),HPS Helsinki › FIN (2),0-3,0-3,Stade Reims › FRA (4),0-7 (agg.),,
Round of 16 | Replay,(Thu) 18 Dec 1958 (W50),Atletico Madrid › ESP (5),1-1 (*),1-1,CDNA Sofia › BUL (3),,3-1 (a.e.t.),
Quarterfinals | Leg 1,(Wed) 4 Feb 1959 (W5),Standard Liege › BEL (5),2-0,0-0,Stade Reims › FRA (5),,,
Quarterfinals | Leg 1,(Wed) 4 Mar 1959 (W9),Wiener Sport-Club › AUT (5),0-0,0-0,Real Madrid CF › ESP (3),,,
Quarterfinals | Leg 1,(Wed) 4 Mar 1959 (W9),Atletico Madrid › ESP (6),3-0,0-0,FC Schalke 04 › GER (6),,,
Quarterfinals | Leg 1,(Wed) 11 Mar 1959 (W10),BSC Young Boys › SUI (3),2-2,1-1,SC Wismut Karl-Marx-Stadt › GER (6),,,
Quarterfinals | Leg 2,(Wed) 18 Mar 1959 (W11),SC Wismut Karl-Marx-Stadt › GER (7),0-0,0-0,BSC Young Boys › SUI (4),2-2 (agg.),,
Quarterfinals | Leg 2,(Wed) 18 Mar 1959 (W11),FC Schalke 04 › GER (7),1-1,1-0,Atletico Madrid › ESP (7),1-4 (agg.),,
Quarterfinals | Leg 2,(Wed) 18 Mar 1959 (W11),Stade Reims › FRA (6),3-0,0-0,Standard Liege › BEL (6),3-2 (agg.),,
Quarterfinals | Leg 2,(Wed) 18 Mar 1959 (W11),Real Madrid CF › ESP (4),7-1,2-1,Wiener Sport-Club › AUT (6),7-1 (agg.),,
Quarterfinals | Replay,(Wed) 1 Apr 1959 (W13),BSC Young Boys › SUI (5),2-1,2-0,SC Wismut Karl-Marx-Stadt › GER (8),,,
Semifinals | Leg 1,(Mon) 13 Apr 1959 (W15),BSC Young Boys › SUI (6),1-0,1-0,Stade Reims › FRA (7),,,
Semifinals | Leg 1,(Thu) 23 Apr 1959 (W16),Real Madrid CF › ESP (5),2-1,2-1,Atletico Madrid › ESP (8),,,
Semifinals | Leg 2,(Thu) 7 May 1959 (W18),Atletico Madrid › ESP (9),1-0,1-0,Real Madrid CF › ESP (6),2-2 (agg.),,
Semifinals | Leg 2,(Wed) 13 May 1959 (W19),Stade Reims › FRA (8),3-0,1-0,BSC Young Boys › SUI (7),3-1 (agg.),,
Semifinals | Replay,(Wed) 13 May 1959 (W19),Real Madrid CF › ESP (7),2-1,2-1,Atletico Madrid › ESP (10),,,
Final,(Wed) 3 Jun 1959 (W22),Real Madrid CF › ESP (8),2-0,0-0,Stade Reims › FRA (9),,,
