Round,Date,Team 1,FT,HT,Team 2,∑FT,ET,P,Comments
Round of 16 | Leg 2,(Wed) 4 Dec 1968 (W49),Real Madrid CF › ESP (4),2-1,1-0,Rapid Wien › AUT (4),2-2 (agg.),,,Away Goals (2)
Quarterfinals | Leg 1,(Wed) 12 Feb 1969 (W6),AFC Ajax › NED (5),1-3,0-2,SL Benfica › POR (3),,,,
Quarterfinals | Leg 1,(Wed) 19 Feb 1969 (W7),AC Milan › ITA (3),0-0,0-0,Celtic FC › SCO (5),,,,
Quarterfinals | Leg 2,(Wed) 19 Feb 1969 (W7),SL Benfica › POR (4),1-3,0-3,AFC Ajax › NED (6),4-4 (agg.),,,
Quarterfinals | Leg 1,(Wed) 26 Feb 1969 (W8),Manchester United FC › ENG (5),3-0,1-0,Rapid Wien › AUT (5),,,,
Quarterfinals | Leg 1,(Wed) 26 Feb 1969 (W8),Spartak TAZ Trnava › SVK (5),2-1,2-0,AEK Athens › GRE (5),,,,
Quarterfinals | Replay,(Wed) 5 Mar 1969 (W9),AFC Ajax › NED (7),0-0 (*),0-0,SL Benfica › POR (5),,3-0 (a.e.t.),,
Quarterfinals | Leg 2,(Wed) 5 Mar 1969 (W9),Rapid Wien › AUT (6),0-0,0-0,Manchester United FC › ENG (6),0-3 (agg.),,,
Quarterfinals | Leg 2,(Wed) 12 Mar 1969 (W10),Celtic FC › SCO (6),0-1,0-1,AC Milan › ITA (4),0-1 (agg.),,,
Quarterfinals | Leg 2,(Wed) 12 Mar 1969 (W10),AEK Athens › GRE (6),1-1,0-1,Spartak TAZ Trnava › SVK (6),2-3 (agg.),,,
Semifinals | Leg 1,(Sun) 13 Apr 1969 (W14),AFC Ajax › NED (8),3-0,1-0,Spartak TAZ Trnava › SVK (7),,,,
Semifinals | Leg 1,(Wed) 23 Apr 1969 (W16),AC Milan › ITA (5),2-0,1-0,Manchester United FC › ENG (7),,,,
Semifinals | Leg 2,(Thu) 24 Apr 1969 (W16),Spartak TAZ Trnava › SVK (8),2-0,1-0,AFC Ajax › NED (9),2-3 (agg.),,,
Semifinals | Leg 2,(Thu) 15 May 1969 (W19),Manchester United FC › ENG (8),1-0,0-0,AC Milan › ITA (6),1-2 (agg.),,,
Final,(Wed) 28 May 1969 (W21),AC Milan › ITA (7),4-0,0-0,AFC Ajax › NED (10),,,,
