Round,Date,Team 1,FT,HT,Team 2,∑FT,ET,P
Round 1 | Leg 1,(Wed) 13 Sep 1961 (W37),Sporting CP › POR (1),1-1,0-0,Partizan Belgrade › SRB (1),1-3 (agg.),,
Round 1 | Leg 1,(Wed) 13 Sep 1961 (W37),Gornik Zabrze › POL (1),4-2,3-0,Tottenham Hotspur FC › ENG (1),5-10 (agg.),,
Round 1 | Leg 2,(Wed) 13 Sep 1961 (W37),Feyenoord Rotterdam › NED (2),8-2,4-0,IFK Goteborg › SWE (2),11-2 (agg.),,
Round 1 | Leg 2,(Wed) 20 Sep 1961 (W38),Real Madrid CF › ESP (2),3-1,1-1,Budapesti Vasas › HUN (2),5-1 (agg.),,
Round 1 | Leg 2,(Wed) 20 Sep 1961 (W38),Fredrikstad FK › NOR (2),0-2,0-0,Standard Liege › BEL (2),1-4 (agg.),,
Round 1 | Leg 2,(Wed) 20 Sep 1961 (W38),Tottenham Hotspur FC › ENG (2),8-1,5-1,Gornik Zabrze › POL (2),10-5 (agg.),,
Round 1 | Leg 2,(Wed) 20 Sep 1961 (W38),Hibernians › MLT (2),1-2,0-1,Servette Geneve › SUI (2),1-7 (agg.),,
Round 1 | Leg 1,(Wed) 20 Sep 1961 (W38),Panathinaikos FC › GRE (1),1-1,0-1,Juventus › ITA (1),2-3 (agg.),,
Round 1 | Leg 2,(Wed) 20 Sep 1961 (W38),Partizan Belgrade › SRB (2),2-0,1-0,Sporting CP › POR (2),3-1 (agg.),,
Round 1 | Leg 1,(Thu) 21 Sep 1961 (W38),CCA Bucuresti › ROU (1),0-0,0-0,Austria Wien › AUT (1),0-2 (agg.),,
Round 1 | Leg 2,(Wed) 27 Sep 1961 (W39),Juventus › ITA (2),2-1,2-0,Panathinaikos FC › GRE (2),3-2 (agg.),,
Round 1 | Leg 2,(Thu) 28 Sep 1961 (W39),Austria Wien › AUT (2),2-0,2-0,CCA Bucuresti › ROU (2),2-0 (agg.),,
Round of 16 | Leg 1,(Wed) 18 Oct 1961 (W42),B 1913 Odense › DEN (3),0-3,0-1,Real Madrid CF › ESP (3),0-12 (agg.),,
Round of 16 | Leg 1,(Wed) 18 Oct 1961 (W42),Fenerbahçe İstanbul SK › TUR (1),1-2,0-0,1. FC Nürnberg › GER (3),1-3 (agg.),,
Round of 16 | Leg 1,(Tue) 24 Oct 1961 (W43),Standard Liege › BEL (3),5-1,2-0,Haka Valkeakoski › FIN (1),7-1 (agg.),,
Round of 16 | Leg 2,(Wed) 25 Oct 1961 (W43),Real Madrid CF › ESP (4),9-0,5-0,B 1913 Odense › DEN (4),12-0 (agg.),,
Round of 16 | Leg 1,(Tue) 31 Oct 1961 (W44),Austria Wien › AUT (3),1-1,0-1,SL Benfica › POR (1),2-6 (agg.),,
Round of 16 | Leg 1,(Wed) 1 Nov 1961 (W44),Feyenoord Rotterdam › NED (3),1-3,0-1,Tottenham Hotspur FC › ENG (3),2-4 (agg.),,
Round of 16 | Leg 2,(Thu) 2 Nov 1961 (W44),Haka Valkeakoski › FIN (2),0-2,0-0,Standard Liege › BEL (4),1-7 (agg.),,
Round of 16 | Leg 1,(Sun) 5 Nov 1961 (W44),Servette Geneve › SUI (3),4-3,1-2,Dukla Praha › CZE (3),4-5 (agg.),,
Round of 16 | Leg 2,(Wed) 8 Nov 1961 (W45),SL Benfica › POR (2),5-1,3-0,Austria Wien › AUT (4),6-2 (agg.),,
Round of 16 | Leg 1,(Wed) 8 Nov 1961 (W45),Partizan Belgrade › SRB (3),1-2,0-1,Juventus › ITA (3),1-7 (agg.),,
Round of 16 | Leg 1,(Wed) 15 Nov 1961 (W46),ASK Vorwarts Berlin › GER (2),1-2,1-2,Rangers FC › SCO (3),2-6 (agg.),,
Round of 16 | Leg 2,(Wed) 15 Nov 1961 (W46),Tottenham Hotspur FC › ENG (4),1-1,1-1,Feyenoord Rotterdam › NED (4),4-2 (agg.),,
Round of 16 | Leg 2,(Wed) 15 Nov 1961 (W46),Juventus › ITA (4),5-0,2-0,Partizan Belgrade › SRB (4),7-1 (agg.),,
Round of 16 | Leg 2,(Wed) 22 Nov 1961 (W47),Dukla Praha › CZE (4),2-0,2-0,Servette Geneve › SUI (4),5-4 (agg.),,
Round of 16 | Leg 2,(Thu) 23 Nov 1961 (W47),Rangers FC › SCO (4),4-1,1-0,ASK Vorwarts Berlin › GER (3),6-2 (agg.),,
Round of 16 | Leg 2,(Sun) 3 Dec 1961 (W48),1. FC Nürnberg › GER (4),1-0,0-0,Fenerbahçe İstanbul SK › TUR (2),3-1 (agg.),,
Quarterfinals | Leg 1,(Thu) 1 Feb 1962 (W5),1. FC Nürnberg › GER (5),3-1,2-1,SL Benfica › POR (3),3-7 (agg.),,
Quarterfinals | Leg 1,(Wed) 7 Feb 1962 (W6),Standard Liege › BEL (5),4-1,2-1,Rangers FC › SCO (5),4-3 (agg.),,
Quarterfinals | Leg 1,(Wed) 14 Feb 1962 (W7),Juventus › ITA (5),0-1,0-0,Real Madrid CF › ESP (5),2-4 (agg.),,
Quarterfinals | Leg 1,(Wed) 14 Feb 1962 (W7),Dukla Praha › CZE (5),1-0,0-0,Tottenham Hotspur FC › ENG (5),2-4 (agg.),,
Quarterfinals | Leg 2,(Wed) 14 Feb 1962 (W7),Rangers FC › SCO (6),2-0,1-0,Standard Liege › BEL (6),3-4 (agg.),,
Quarterfinals | Leg 2,(Wed) 21 Feb 1962 (W8),Tottenham Hotspur FC › ENG (6),4-1,2-0,Dukla Praha › CZE (6),4-2 (agg.),,
Quarterfinals | Leg 2,(Thu) 22 Feb 1962 (W8),SL Benfica › POR (4),6-0,3-0,1. FC Nürnberg › GER (6),7-3 (agg.),,
Quarterfinals | Leg 2,(Mon) 26 Feb 1962 (W9),Real Madrid CF › ESP (6),0-1,0-1,Juventus › ITA (6),4-2 (agg.),,
Quarterfinals | Replay,(Wed) 28 Feb 1962 (W9),Real Madrid CF › ESP (7),3-1,1-1,Juventus › ITA (7),4-2 (agg.),,
Semifinals | Leg 1,(Wed) 21 Mar 1962 (W12),SL Benfica › POR (5),3-1,2-0,Tottenham Hotspur FC › ENG (7),4-3 (agg.),,
Semifinals | Leg 1,(Thu) 22 Mar 1962 (W12),Real Madrid CF › ESP (8),4-0,2-0,Standard Liege › BEL (7),6-0 (agg.),,
Semifinals | Leg 2,(Thu) 5 Apr 1962 (W14),Tottenham Hotspur FC › ENG (8),2-1,1-1,SL Benfica › POR (6),3-4 (agg.),,
Semifinals | Leg 2,(Thu) 12 Apr 1962 (W15),Standard Liege › BEL (8),0-2,0-0,Real Madrid CF › ESP (9),0-6 (agg.),,
Final,(Wed) 2 May 1962 (W18),SL Benfica › POR (7),5-3,0-0,Real Madrid CF › ESP (10),,,
