Stage,Round,Group,Date,Team 1,FT,HT,Team 2,∑FT,ET,P,Comments
Qualifying,Qual. Round 1 | Leg 1,,(Tue) 13 Jul 1999 (W28),IB Vestmannaeyja › ISL (1),1-0,0-0,KF Tirana › ALB (1),,,,
Group 1st,Matchday ?,1|F,(Wed) 3 Nov 1999 (W44),Valencia CF › ESP (8),1-0,0-0,PSV Eindhoven › NED (8),,,,
Group 1st,Matchday ?,1|F,(Wed) 3 Nov 1999 (W44),Bayern München › GER (6),1-0,1-0,Rangers FC › SCO (10),,,,
Group 1st,Matchday ?,1|G,(Wed) 3 Nov 1999 (W44),Willem II Tilburg › NED (6),0-0,0-0,Girondins Bordeaux › FRA (6),,,,
Group 1st,Matchday ?,1|G,(Wed) 3 Nov 1999 (W44),Sparta Praha › CZE (6),5-2,2-2,Spartak Moskva › RUS (8),,,,
Group 1st,Matchday ?,1|H,(Wed) 3 Nov 1999 (W44),Chelsea FC › ENG (8),2-0,2-0,Hertha BSC › GER (8),,,,
Group 1st,Matchday ?,1|H,(Wed) 3 Nov 1999 (W44),Galatasaray İstanbul AŞ › TUR (8),3-2,1-1,AC Milan › ITA (6),,,,
Group 2nd,Matchday ?,2|A,(Tue) 23 Nov 1999 (W47),Sparta Praha › CZE (7),0-2,0-0,FC Porto › POR (7),,,,
Group 2nd,Matchday ?,2|A,(Tue) 23 Nov 1999 (W47),Hertha BSC › GER (9),1-1,1-1,FC Barcelona › ESP (7),,,,
Group 2nd,Matchday ?,2|B,(Tue) 23 Nov 1999 (W47),ACF Fiorentina › ITA (9),2-0,1-0,Manchester United FC › ENG (7),,,,
Group 2nd,Matchday ?,2|B,(Tue) 23 Nov 1999 (W47),Valencia CF › ESP (9),3-0,0-0,Girondins Bordeaux › FRA (7),,,,
Group 2nd,Matchday ?,2|C,(Wed) 24 Nov 1999 (W47),Rosenborg BK › NOR (7),1-1,0-1,Bayern München › GER (7),,,,
Group 2nd,Matchday ?,2|C,(Wed) 24 Nov 1999 (W47),Dinamo Kiev › UKR (11),1-2,0-1,Real Madrid CF › ESP (7),,,,
Group 2nd,Matchday ?,2|D,(Wed) 24 Nov 1999 (W47),Chelsea FC › ENG (9),3-1,1-0,Feyenoord Rotterdam › NED (7),,,,
Group 2nd,Matchday ?,2|D,(Wed) 24 Nov 1999 (W47),Olympique Marseille › FRA (7),0-2,0-0,SS Lazio › ITA (7),,,,
Group 2nd,Matchday ?,2|C,(Tue) 7 Dec 1999 (W49),Real Madrid CF › ESP (8),3-1,1-0,Rosenborg BK › NOR (8),,,,
Group 2nd,Matchday ?,2|C,(Tue) 7 Dec 1999 (W49),Bayern München › GER (8),2-1,1-0,Dinamo Kiev › UKR (12),,,,
Group 2nd,Matchday ?,2|D,(Tue) 7 Dec 1999 (W49),Feyenoord Rotterdam › NED (8),3-0,0-0,Olympique Marseille › FRA (8),,,,
Group 2nd,Matchday ?,2|D,(Tue) 7 Dec 1999 (W49),SS Lazio › ITA (8),0-0,0-0,Chelsea FC › ENG (10),,,,
Group 2nd,Matchday ?,2|A,(Wed) 8 Dec 1999 (W49),FC Porto › POR (8),1-0,0-0,Hertha BSC › GER (10),,,,
Group 2nd,Matchday ?,2|A,(Wed) 8 Dec 1999 (W49),FC Barcelona › ESP (8),5-0,2-0,Sparta Praha › CZE (8),,,,
Group 2nd,Matchday ?,2|B,(Wed) 8 Dec 1999 (W49),Girondins Bordeaux › FRA (8),0-0,0-0,ACF Fiorentina › ITA (10),,,,
Group 2nd,Matchday ?,2|B,(Wed) 8 Dec 1999 (W49),Manchester United FC › ENG (8),3-0,1-0,Valencia CF › ESP (10),,,,
Group 2nd,Matchday ?,2|C,(Tue) 29 Feb 2000 (W9),Dinamo Kiev › UKR (13),2-1,2-0,Rosenborg BK › NOR (9),,,,
Group 2nd,Matchday ?,2|C,(Tue) 29 Feb 2000 (W9),Real Madrid CF › ESP (9),2-4,1-3,Bayern München › GER (9),,,,
Group 2nd,Matchday ?,2|D,(Tue) 29 Feb 2000 (W9),Olympique Marseille › FRA (9),1-0,1-0,Chelsea FC › ENG (11),,,,
Group 2nd,Matchday ?,2|D,(Tue) 29 Feb 2000 (W9),SS Lazio › ITA (9),1-2,1-0,Feyenoord Rotterdam › NED (9),,,,
Group 2nd,Matchday ?,2|A,(Wed) 1 Mar 2000 (W9),FC Barcelona › ESP (9),4-2,3-1,FC Porto › POR (9),,,,
Group 2nd,Matchday ?,2|A,(Wed) 1 Mar 2000 (W9),Hertha BSC › GER (11),1-1,1-0,Sparta Praha › CZE (9),,,,
Group 2nd,Matchday ?,2|B,(Wed) 1 Mar 2000 (W9),ACF Fiorentina › ITA (11),1-0,1-0,Valencia CF › ESP (11),,,,
Group 2nd,Matchday ?,2|B,(Wed) 1 Mar 2000 (W9),Manchester United FC › ENG (9),2-0,1-0,Girondins Bordeaux › FRA (9),,,,
Group 2nd,Matchday ?,2|A,(Tue) 7 Mar 2000 (W10),Sparta Praha › CZE (10),1-0,0-0,Hertha BSC › GER (12),,,,
Group 2nd,Matchday ?,2|A,(Tue) 7 Mar 2000 (W10),FC Porto › POR (10),0-2,0-1,FC Barcelona › ESP (10),,,,
Group 2nd,Matchday ?,2|B,(Tue) 7 Mar 2000 (W10),Girondins Bordeaux › FRA (10),1-2,1-1,Manchester United FC › ENG (10),,,,
Group 2nd,Matchday ?,2|B,(Tue) 7 Mar 2000 (W10),Valencia CF › ESP (12),2-0,1-0,ACF Fiorentina › ITA (12),,,,
Group 2nd,Matchday ?,2|C,(Wed) 8 Mar 2000 (W10),Bayern München › GER (10),4-1,2-0,Real Madrid CF › ESP (10),,,,
Group 2nd,Matchday ?,2|C,(Wed) 8 Mar 2000 (W10),Rosenborg BK › NOR (10),1-2,1-1,Dinamo Kiev › UKR (14),,,,
Group 2nd,Matchday ?,2|D,(Wed) 8 Mar 2000 (W10),Chelsea FC › ENG (12),1-0,1-0,Olympique Marseille › FRA (10),,,,
Group 2nd,Matchday ?,2|D,(Wed) 8 Mar 2000 (W10),Feyenoord Rotterdam › NED (10),0-0,0-0,SS Lazio › ITA (10),,,,
Group 2nd,Matchday ?,2|C,(Tue) 14 Mar 2000 (W11),Bayern München › GER (11),2-1,2-0,Rosenborg BK › NOR (11),,,,
Group 2nd,Matchday ?,2|C,(Tue) 14 Mar 2000 (W11),Real Madrid CF › ESP (11),2-2,1-1,Dinamo Kiev › UKR (15),,,,
Group 2nd,Matchday ?,2|D,(Tue) 14 Mar 2000 (W11),Feyenoord Rotterdam › NED (11),1-3,0-1,Chelsea FC › ENG (13),,,,
Group 2nd,Matchday ?,2|D,(Tue) 14 Mar 2000 (W11),SS Lazio › ITA (11),5-1,3-0,Olympique Marseille › FRA (11),,,,
Group 2nd,Matchday ?,2|A,(Wed) 15 Mar 2000 (W11),FC Porto › POR (11),2-2,1-0,Sparta Praha › CZE (11),,,,
Group 2nd,Matchday ?,2|A,(Wed) 15 Mar 2000 (W11),FC Barcelona › ESP (11),3-1,1-1,Hertha BSC › GER (13),,,,
Group 2nd,Matchday ?,2|B,(Wed) 15 Mar 2000 (W11),Manchester United FC › ENG (11),3-1,2-1,ACF Fiorentina › ITA (13),,,,
Group 2nd,Matchday ?,2|B,(Wed) 15 Mar 2000 (W11),Girondins Bordeaux › FRA (11),1-4,0-1,Valencia CF › ESP (13),,,,
Group 2nd,Matchday ?,2|A,(Tue) 21 Mar 2000 (W12),Hertha BSC › GER (14),0-1,0-0,FC Porto › POR (12),,,,
Group 2nd,Matchday ?,2|A,(Tue) 21 Mar 2000 (W12),Sparta Praha › CZE (12),1-2,1-0,FC Barcelona › ESP (12),,,,
Group 2nd,Matchday ?,2|B,(Tue) 21 Mar 2000 (W12),ACF Fiorentina › ITA (14),3-3,0-1,Girondins Bordeaux › FRA (12),,,,
Group 2nd,Matchday ?,2|B,(Tue) 21 Mar 2000 (W12),Valencia CF › ESP (14),0-0,0-0,Manchester United FC › ENG (12),,,,
Group 2nd,Matchday ?,2|C,(Wed) 22 Mar 2000 (W12),Dinamo Kiev › UKR (16),2-0,1-0,Bayern München › GER (12),,,,
Group 2nd,Matchday ?,2|C,(Wed) 22 Mar 2000 (W12),Rosenborg BK › NOR (12),0-1,0-1,Real Madrid CF › ESP (12),,,,
Group 2nd,Matchday ?,2|D,(Wed) 22 Mar 2000 (W12),Chelsea FC › ENG (14),1-2,1-0,SS Lazio › ITA (12),,,,
Group 2nd,Matchday ?,2|D,(Wed) 22 Mar 2000 (W12),Olympique Marseille › FRA (12),0-0,0-0,Feyenoord Rotterdam › NED (12),,,,
Knockout,Quarterfinals | Leg 1,,(Tue) 4 Apr 2000 (W14),FC Porto › POR (13),1-1,0-0,Bayern München › GER (13),,,,
Knockout,Quarterfinals | Leg 1,,(Tue) 4 Apr 2000 (W14),Real Madrid CF › ESP (13),0-0,0-0,Manchester United FC › ENG (13),,,,
Knockout,Quarterfinals | Leg 1,,(Wed) 5 Apr 2000 (W14),Chelsea FC › ENG (15),3-1,3-0,FC Barcelona › ESP (13),,,,
Knockout,Quarterfinals | Leg 1,,(Wed) 5 Apr 2000 (W14),Valencia CF › ESP (15),5-2,3-1,SS Lazio › ITA (13),,,,
Knockout,Quarterfinals | Leg 2,,(Tue) 18 Apr 2000 (W16),FC Barcelona › ESP (14),3-1 (*),2-0,Chelsea FC › ENG (16),4-4 (agg.),5-1 (a.e.t.),,
Knockout,Quarterfinals | Leg 2,,(Tue) 18 Apr 2000 (W16),SS Lazio › ITA (14),1-0,0-0,Valencia CF › ESP (16),3-5 (agg.),,,
Knockout,Quarterfinals | Leg 2,,(Wed) 19 Apr 2000 (W16),Manchester United FC › ENG (14),2-3,0-1,Real Madrid CF › ESP (14),2-3 (agg.),,,
Knockout,Quarterfinals | Leg 2,,(Wed) 19 Apr 2000 (W16),Bayern München › GER (14),2-1,1-0,FC Porto › POR (14),3-2 (agg.),,,
Knockout,Semifinals | Leg 1,,(Tue) 2 May 2000 (W18),Real Madrid CF › ESP (15),2-0,2-0,Bayern München › GER (15),,,,
Knockout,Semifinals | Leg 1,,(Tue) 2 May 2000 (W18),Valencia CF › ESP (17),4-1,3-1,FC Barcelona › ESP (15),,,,
Knockout,Semifinals | Leg 2,,(Wed) 10 May 2000 (W19),FC Barcelona › ESP (16),2-1,0-0,Valencia CF › ESP (18),3-5 (agg.),,,
Knockout,Semifinals | Leg 2,,(Wed) 10 May 2000 (W19),Bayern München › GER (16),2-1,1-1,Real Madrid CF › ESP (16),2-3 (agg.),,,
Knockout,Final,,(Wed) 24 May 2000 (W21),Real Madrid CF › ESP (17),3-0,0-0,Valencia CF › ESP (19),,,,
